,area_type,availability,total_sqft,price
12242,Super built-up  Area,Ready To Move,1615,150.0
12243,Super built-up  Area,Ready To Move,1180,85.0
12244,Plot  Area,Ready To Move,1500,91.0
12245,Built-up  Area,Ready To Move,850,45.0
12246,Super built-up  Area,Ready To Move,1130,55.0
12247,Super built-up  Area,Ready To Move,907,38.0
12248,Built-up  Area,Ready To Move,1300,90.0
12249,Super built-up  Area,Ready To Move,1891,110.0
12250,Super built-up  Area,Ready To Move,1735,78.0
12251,Super built-up  Area,Ready To Move,1075,33.0
12252,Built-up  Area,Ready To Move,24Sq. Meter,75.0
12253,Built-up  Area,Ready To Move,2040,123.0
12254,Super built-up  Area,Ready To Move,1590,57.0
12255,Plot  Area,Ready To Move,1600,140.0
12256,Built-up  Area,Ready To Move,1160,55.0
12257,Super built-up  Area,Ready To Move,930,55.0
12258,Built-up  Area,Ready To Move,1010,58.0
12259,Super built-up  Area,Ready To Move,1221,68.0
12260,Plot  Area,Ready To Move,2400,470.0
12261,Super built-up  Area,22-Jun,1108,87.48
12262,Plot  Area,Ready To Move,1000,120.0
12263,Super built-up  Area,18-Apr,1370,70.0
12264,Super built-up  Area,Ready To Move,920,41.5
12265,Super built-up  Area,18-May,1277,79.89
12266,Super built-up  Area,18-May,1213,38.1
12267,Super built-up  Area,Ready To Move,1653,85.0
12268,Plot  Area,Ready To Move,2400,140.0
12269,Super built-up  Area,Ready To Move,3000,500.0
12270,Plot  Area,Ready To Move,1600,250.0
12271,Super built-up  Area,Ready To Move,1321,40.0
12272,Super built-up  Area,Ready To Move,1570,68.0
12273,Built-up  Area,Ready To Move,1150,70.0
12274,Super built-up  Area,Ready To Move,1053,44.0
12275,Super built-up  Area,Ready To Move,1325,56.0
12276,Super built-up  Area,18-Nov,1169,50.11
12277,Super built-up  Area,20-Jan,1274,90.0
12278,Super built-up  Area,Ready To Move,1317,52.0
12279,Built-up  Area,Ready To Move,1195,75.0
12280,Super built-up  Area,18-Nov,2528 - 3188,137.0
12281,Super built-up  Area,Ready To Move,940,35.0
12282,Built-up  Area,Ready To Move,1820,95.5
12283,Super built-up  Area,Ready To Move,1450,53.6
12284,Built-up  Area,Ready To Move,1615,96.9
12285,Built-up  Area,Ready To Move,2200,99.0
12286,Super built-up  Area,Ready To Move,985,62.5
12287,Built-up  Area,Ready To Move,1116,33.0
12288,Super built-up  Area,Ready To Move,656,25.0
12289,Super built-up  Area,Ready To Move,1105,39.5
12290,Super built-up  Area,Ready To Move,1220,55.0
12291,Built-up  Area,Ready To Move,1400,74.0
12292,Built-up  Area,Ready To Move,2400,185.0
12293,Plot  Area,Ready To Move,850,63.0
12294,Built-up  Area,Ready To Move,1000,35.0
12295,Super built-up  Area,Ready To Move,1660,80.0
12296,Super built-up  Area,Ready To Move,1330,57.0
12297,Super built-up  Area,18-May,1165,52.0
12298,Super built-up  Area,Ready To Move,1153,56.0
12299,Built-up  Area,Ready To Move,1270,45.0
12300,Super built-up  Area,18-Aug,1070,38.0
12301,Built-up  Area,Ready To Move,1427,85.0
12302,Super built-up  Area,Ready To Move,1420,95.0
12303,Plot  Area,Ready To Move,1600,130.0
12304,Super built-up  Area,Ready To Move,2031,200.0
12305,Super built-up  Area,19-Jul,1454,90.0
12306,Super built-up  Area,Ready To Move,1116,48.76
12307,Plot  Area,Ready To Move,2000,180.0
12308,Super built-up  Area,18-Jul,1346,74.03
12309,Super built-up  Area,Ready To Move,1062,50.0
12310,Super built-up  Area,Ready To Move,700,25.5
12311,Super built-up  Area,19-Dec,1405,99.0
12312,Built-up  Area,Ready To Move,1100,50.0
12313,Plot  Area,Ready To Move,2153,120.0
12314,Plot  Area,Ready To Move,1200,120.0
12315,Super built-up  Area,Ready To Move,2135,170.0
12316,Super built-up  Area,Ready To Move,1125,47.0
12317,Super built-up  Area,Ready To Move,1350,47.25
12318,Built-up  Area,Ready To Move,1068,48.0
12319,Super built-up  Area,Ready To Move,940,32.9
12320,Super built-up  Area,18-May,1063,32.79
12321,Super built-up  Area,Ready To Move,1382,84.5
12322,Super built-up  Area,Ready To Move,936,45.0
12323,Super built-up  Area,Ready To Move,1400,60.0
12324,Super built-up  Area,20-Aug,475,26.0
12325,Super built-up  Area,Ready To Move,1200,115.0
12326,Super built-up  Area,Ready To Move,1450,65.0
12327,Super built-up  Area,Ready To Move,1162,52.0
12328,Super built-up  Area,18-Dec,1161,48.75
12329,Super built-up  Area,Ready To Move,1623.29,105.0
12330,Super built-up  Area,Ready To Move,1260,70.0
12331,Plot  Area,Ready To Move,1672,190.0
12332,Plot  Area,Ready To Move,3000,240.0
12333,Super built-up  Area,Ready To Move,1500,70.0
12334,Super built-up  Area,20-Jun,650 - 760,34.545
12335,Plot  Area,Ready To Move,1650,200.0
12336,Super built-up  Area,Ready To Move,2000,200.0
12337,Plot  Area,Ready To Move,1675,241.0
12338,Plot  Area,Ready To Move,1200,150.0
12339,Super built-up  Area,Ready To Move,1100,46.2
12340,Super built-up  Area,Ready To Move,1400,56.0
12341,Super built-up  Area,Ready To Move,2257,155.0
12342,Super built-up  Area,Ready To Move,1153,56.5
12343,Super built-up  Area,Ready To Move,1197,56.86
12344,Super built-up  Area,Ready To Move,1150,90.0
12345,Super built-up  Area,20-Dec,595,40.0
12346,Super built-up  Area,21-Jul,1837,110.0
12347,Plot  Area,Ready To Move,3750,190.0
12348,Super built-up  Area,Ready To Move,1830,91.86
12349,Super built-up  Area,Ready To Move,1715,115.0
12350,Super built-up  Area,Ready To Move,970,35.0
12351,Plot  Area,Ready To Move,1200,148.0
12352,Built-up  Area,Ready To Move,2700,95.75
12353,Plot  Area,Ready To Move,5480,400.0
12354,Built-up  Area,Ready To Move,2400,135.0
12355,Super built-up  Area,Ready To Move,3040,135.0
12356,Super built-up  Area,18-Jul,1168,66.0
12357,Super built-up  Area,Ready To Move,1160,36.54
12358,Built-up  Area,Ready To Move,1500,75.0
12359,Plot  Area,Ready To Move,600,72.0
12360,Plot  Area,Ready To Move,1200,250.0
12361,Super built-up  Area,18-Dec,850,25.4
12362,Super built-up  Area,Ready To Move,935,39.0
12363,Plot  Area,Ready To Move,1200,235.0
12364,Super built-up  Area,18-Apr,654,49.0
12365,Built-up  Area,Ready To Move,1650,180.0
12366,Plot  Area,Ready To Move,5656,499.0
12367,Super built-up  Area,Ready To Move,1300,33.0
12368,Super built-up  Area,Ready To Move,950,60.0
12369,Super built-up  Area,18-May,1250,54.0
12370,Super built-up  Area,Ready To Move,1072,42.87
12371,Super built-up  Area,Ready To Move,1425,65.0
12372,Built-up  Area,Ready To Move,1165,42.09
12373,Super built-up  Area,Ready To Move,1390,69.49
12374,Built-up  Area,Ready To Move,1510,78.0
12375,Super built-up  Area,Ready To Move,1305,90.0
12376,Plot  Area,Ready To Move,1200,170.0
12377,Built-up  Area,Ready To Move,866,32.0
12378,Super built-up  Area,Ready To Move,1231,84.5
12379,Super built-up  Area,Ready To Move,1360,45.0
12380,Super built-up  Area,Ready To Move,2500,138.0
12381,Super built-up  Area,Ready To Move,1140,55.0
12382,Super built-up  Area,21-Dec,525,30.0
12383,Super built-up  Area,19-Sep,1295,64.5
12384,Super built-up  Area,Ready To Move,1020,45.75
12385,Super built-up  Area,18-Dec,3504,262.0
12386,Plot  Area,Ready To Move,1200,50.0
12387,Super built-up  Area,Ready To Move,1100,41.0
12388,Plot  Area,19-Dec,4723,500.0
12389,Super built-up  Area,Ready To Move,820,37.0
12390,Plot  Area,Ready To Move,3508,386.0
12391,Plot  Area,Ready To Move,3700,400.0
12392,Super built-up  Area,Ready To Move,1354,70.0
12393,Super built-up  Area,Ready To Move,2453,250.0
12394,Super built-up  Area,Ready To Move,1154,51.8
12395,Super built-up  Area,Ready To Move,1680,92.0
12396,Super built-up  Area,18-May,1205,60.0
12397,Built-up  Area,Ready To Move,1400,86.0
12398,Carpet  Area,Ready To Move,1625,150.0
12399,Built-up  Area,Ready To Move,1500,73.0
12400,Super built-up  Area,Ready To Move,1520,80.0
12401,Built-up  Area,Ready To Move,1300,65.0
12402,Super built-up  Area,Ready To Move,1150,47.0
12403,Super built-up  Area,18-Apr,1762,109.0
12404,Super built-up  Area,Ready To Move,1153,58.0
12405,Super built-up  Area,Ready To Move,2650,223.0
12406,Super built-up  Area,Ready To Move,1350,47.0
12407,Super built-up  Area,Ready To Move,950,56.0
12408,Super built-up  Area,Ready To Move,3295,310.0
12409,Super built-up  Area,Ready To Move,1515,80.5
12410,Super built-up  Area,Ready To Move,1100,30.0
12411,Super built-up  Area,Ready To Move,1250,65.0
12412,Built-up  Area,Ready To Move,1200,120.0
12413,Super built-up  Area,Ready To Move,2500,95.0
12414,Plot  Area,Ready To Move,1200,100.0
12415,Super built-up  Area,Ready To Move,1355,51.5
12416,Super built-up  Area,18-May,1115,39.14
12417,Super built-up  Area,18-Apr,1275,45.0
12418,Super built-up  Area,19-Sep,2051,170.0
12419,Super built-up  Area,Ready To Move,1470,99.0
12420,Super built-up  Area,Ready To Move,1550,70.0
12421,Built-up  Area,Ready To Move,1270,73.0
12422,Super built-up  Area,18-Jul,2119,111.0
12423,Super built-up  Area,Ready To Move,1600,170.0
12424,Super built-up  Area,Ready To Move,1320,50.0
12425,Super built-up  Area,Ready To Move,2505,165.0
12426,Super built-up  Area,Ready To Move,1410,54.0
12427,Super built-up  Area,Ready To Move,1200,70.0
12428,Super built-up  Area,18-Oct,1705,86.96
12429,Super built-up  Area,Ready To Move,995,48.0
12430,Built-up  Area,Ready To Move,1081,52.0
12431,Super built-up  Area,Ready To Move,1194,46.0
12432,Super built-up  Area,18-Dec,605,30.24
12433,Built-up  Area,Ready To Move,567,25.0
12434,Super built-up  Area,Ready To Move,1718,275.0
12435,Super built-up  Area,20-Dec,1400 - 1421,70.385
12436,Plot  Area,Ready To Move,600,135.0
12437,Super built-up  Area,Ready To Move,1715,105.0
12438,Plot  Area,Ready To Move,3206,270.0
12439,Plot  Area,Ready To Move,1500,235.0
12440,Super built-up  Area,Ready To Move,1846,120.0
12441,Plot  Area,Ready To Move,600,90.0
12442,Super built-up  Area,Ready To Move,1015,56.0
12443,Plot  Area,Ready To Move,4350,2600.0
12444,Super built-up  Area,Ready To Move,1100,36.0
12445,Super built-up  Area,Ready To Move,1965,125.0
12446,Super built-up  Area,Ready To Move,1021,45.9
12447,Super built-up  Area,18-Apr,1230,67.65
12448,Super built-up  Area,Ready To Move,1260,55.0
12449,Plot  Area,Ready To Move,2400,700.0
12450,Super built-up  Area,Ready To Move,1894,114.0
12451,Plot  Area,Ready To Move,1500,233.0
12452,Super built-up  Area,20-Jun,1950,131.0
12453,Super built-up  Area,Ready To Move,1231,66.0
12454,Super built-up  Area,Ready To Move,1236,58.0
12455,Built-up  Area,Ready To Move,1800,120.0
12456,Super built-up  Area,Ready To Move,1650,135.0
12457,Plot  Area,Ready To Move,750,88.0
12458,Super built-up  Area,Ready To Move,1443,70.0
12459,Plot  Area,Ready To Move,886,120.0
12460,Super built-up  Area,Ready To Move,925,68.0
12461,Super built-up  Area,18-Sep,1305,33.28
12462,Super built-up  Area,Ready To Move,1190,46.41
12463,Super built-up  Area,Ready To Move,1284,53.36
12464,Plot  Area,Ready To Move,350,45.0
12465,Plot  Area,Ready To Move,875,115.0
12466,Built-up  Area,Ready To Move,1325,59.0
12467,Plot  Area,Ready To Move,2400,750.0
12468,Super built-up  Area,18-Jun,1183,79.54
12469,Built-up  Area,Ready To Move,1750,100.0
12470,Super built-up  Area,Ready To Move,16335,149.0
12471,Super built-up  Area,Ready To Move,747,27.0
12472,Super built-up  Area,Ready To Move,1342,90.0
12473,Super built-up  Area,Ready To Move,1113,52.0
12474,Super built-up  Area,Ready To Move,1738,110.0
12475,Super built-up  Area,Ready To Move,1206,90.0
12476,Super built-up  Area,19-Mar,2790,198.0
12477,Super built-up  Area,18-Mar,1162,59.0
12478,Super built-up  Area,Ready To Move,1194,46.0
12479,Built-up  Area,Ready To Move,1857,155.0
12480,Built-up  Area,Ready To Move,3500,115.0
12481,Super built-up  Area,Ready To Move,1763,240.0
12482,Super built-up  Area,Ready To Move,1150,45.99
12483,Plot  Area,Ready To Move,2400,550.0
12484,Super built-up  Area,Ready To Move,1290,72.0
12485,Built-up  Area,Ready To Move,3408,145.0
12486,Built-up  Area,Ready To Move,900,145.0
12487,Built-up  Area,Ready To Move,1150,70.0
12488,Plot  Area,Ready To Move,1040,109.0
12489,Super built-up  Area,Ready To Move,1160,64.08
12490,Super built-up  Area,Ready To Move,900,27.0
12491,Plot  Area,Ready To Move,1750,185.0
12492,Built-up  Area,18-Dec,1320,38.12
12493,Super built-up  Area,Ready To Move,2240,160.0
12494,Super built-up  Area,Ready To Move,891,26.0
12495,Plot  Area,Ready To Move,1000,80.0
12496,Super built-up  Area,Ready To Move,1852,125.0
12497,Super built-up  Area,Ready To Move,1323,42.0
12498,Super built-up  Area,Ready To Move,1404,67.5
12499,Built-up  Area,Ready To Move,1370,60.0
12500,Super built-up  Area,Ready To Move,1385,48.48
12501,Super built-up  Area,Ready To Move,1129,50.0
12502,Super built-up  Area,Ready To Move,1876,150.0
12503,Super built-up  Area,Ready To Move,1720,95.0
12504,Plot  Area,Ready To Move,1200,80.0
12505,Super built-up  Area,Ready To Move,1175,86.68
12506,Super built-up  Area,Ready To Move,500,51.0
12507,Plot  Area,Ready To Move,1200,85.0
12508,Built-up  Area,Ready To Move,1200,295.0
12509,Super built-up  Area,19-Jan,1893,130.0
12510,Super built-up  Area,Ready To Move,1430,52.0
12511,Built-up  Area,Ready To Move,850,45.0
12512,Super built-up  Area,17-Mar,1392,110.0
12513,Super built-up  Area,21-Mar,1938,105.0
12514,Super built-up  Area,18-Oct,1020,52.0
12515,Plot  Area,Ready To Move,2400,360.0
12516,Super built-up  Area,Ready To Move,1832,160.0
12517,Super built-up  Area,Ready To Move,1423,85.0
12518,Super built-up  Area,Ready To Move,1432,85.0
12519,Plot  Area,Ready To Move,1350,235.0
12520,Plot  Area,Ready To Move,1500,270.0
12521,Super built-up  Area,Ready To Move,1480,65.0
12522,Super built-up  Area,Ready To Move,1843,96.2
12523,Plot  Area,Ready To Move,760,95.0
12524,Super built-up  Area,18-Dec,1916,150.0
12525,Super built-up  Area,Ready To Move,1255,55.5
12526,Super built-up  Area,Ready To Move,1160,44.08
12527,Super built-up  Area,18-Jun,2640,170.0
12528,Super built-up  Area,Ready To Move,1160,53.0
12529,Built-up  Area,Ready To Move,1200,80.0
12530,Super built-up  Area,Ready To Move,1100,44.0
12531,Carpet  Area,Ready To Move,1500,100.0
12532,Super built-up  Area,18-May,1336,50.35
12533,Built-up  Area,Ready To Move,1065,46.0
12534,Super built-up  Area,Ready To Move,1294,115.0
12535,Super built-up  Area,Ready To Move,1550,68.5
12536,Super built-up  Area,18-Dec,1216,75.0
12537,Super built-up  Area,Ready To Move,1005,40.0
12538,Super built-up  Area,Ready To Move,1430,102.0
12539,Super built-up  Area,18-Dec,4100,660.0
12540,Super built-up  Area,22-Jun,1660,125.0
12541,Super built-up  Area,Ready To Move,1430,56.0
12542,Super built-up  Area,Ready To Move,1470,75.0
12543,Super built-up  Area,Ready To Move,1045,76.77
12544,Super built-up  Area,Ready To Move,4000 - 4450,359.0
12545,Built-up  Area,Ready To Move,950,30.0
12546,Super built-up  Area,Ready To Move,1382,65.0
12547,Super built-up  Area,Ready To Move,930,46.0
12548,Super built-up  Area,Ready To Move,1660,116.0
12549,Super built-up  Area,Ready To Move,1290,71.95
12550,Built-up  Area,Ready To Move,1010,45.0
12551,Built-up  Area,Ready To Move,3050,130.0
12552,Super built-up  Area,Ready To Move,1200,71.0
12553,Built-up  Area,Ready To Move,1650,140.0
12554,Super built-up  Area,Ready To Move,1636,88.0
12555,Super built-up  Area,Ready To Move,2367,320.0
12556,Super built-up  Area,Ready To Move,1153,56.55
12557,Super built-up  Area,Ready To Move,2087.01,160.0
12558,Super built-up  Area,Ready To Move,1200,47.0
12559,Super built-up  Area,Ready To Move,1844,89.0
12560,Super built-up  Area,18-Dec,142.84Sq. Meter,110.0
12561,Super built-up  Area,Ready To Move,1215,43.75
12562,Super built-up  Area,18-Jul,1194,57.0
12563,Built-up  Area,Ready To Move,1220,52.0
12564,Built-up  Area,Ready To Move,3150,150.0
12565,Super built-up  Area,21-Dec,525,26.0
12566,Super built-up  Area,18-May,955,37.97
12567,Built-up  Area,Ready To Move,2000,75.0
12568,Super built-up  Area,18-Aug,884,48.0
12569,Super built-up  Area,Ready To Move,1250,68.75
12570,Super built-up  Area,Ready To Move,7000,135.0
12571,Plot  Area,Ready To Move,2400,300.0
12572,Super built-up  Area,Ready To Move,2990,225.0
12573,Super built-up  Area,Ready To Move,1195,52.0
12574,Super built-up  Area,Ready To Move,2559,55.0
12575,Built-up  Area,18-Mar,1200,33.0
12576,Super built-up  Area,18-Nov,984,45.75
12577,Super built-up  Area,Ready To Move,1089,40.0
12578,Super built-up  Area,19-Mar,1165,52.0
12579,Super built-up  Area,Ready To Move,410,10.0
12580,Super built-up  Area,18-Dec,1482,110.0
12581,Built-up  Area,Ready To Move,1200,68.0
12582,Super built-up  Area,19-Dec,1938,113.0
12583,Super built-up  Area,18-Apr,1166,34.97
12584,Super built-up  Area,Ready To Move,1275,55.46
12585,Super built-up  Area,Ready To Move,1140,43.0
12586,Plot  Area,Ready To Move,3734,430.0
12587,Super built-up  Area,Ready To Move,720,28.0
12588,Plot  Area,18-Apr,1200,228.0
12589,Built-up  Area,Ready To Move,1100,90.0
12590,Super built-up  Area,Ready To Move,1162,98.77
12591,Built-up  Area,Ready To Move,540,35.0
12592,Super built-up  Area,Ready To Move,1550,73.5
12593,Plot  Area,Ready To Move,1300,145.0
12594,Plot  Area,Ready To Move,1200,130.0
12595,Super built-up  Area,Ready To Move,1220,60.0
12596,Super built-up  Area,Ready To Move,964,62.0
12597,Built-up  Area,21-Dec,1500,50.0
12598,Super built-up  Area,Ready To Move,1347,44.0
12599,Super built-up  Area,Ready To Move,5000,250.0
12600,Built-up  Area,Ready To Move,3000,140.0
12601,Super built-up  Area,18-Jun,1120,42.5
12602,Super built-up  Area,Ready To Move,600,22.8
12603,Super built-up  Area,18-Dec,2321,157.0
12604,Super built-up  Area,Ready To Move,540,24.0
12605,Built-up  Area,Ready To Move,1150,57.0
12606,Built-up  Area,Ready To Move,1484,75.0
12607,Super built-up  Area,Ready To Move,1680,68.0
12608,Super built-up  Area,Ready To Move,620,23.0
12609,Super built-up  Area,Ready To Move,1650,78.0
12610,Super built-up  Area,18-Apr,1250,44.0
12611,Super built-up  Area,18-Aug,2072,108.0
12612,Super built-up  Area,Ready To Move,1105,40.0
12613,Super built-up  Area,Ready To Move,1200,60.5
12614,Built-up  Area,Ready To Move,3100,145.0
12615,Plot  Area,Ready To Move,4007,530.0
12616,Super built-up  Area,Ready To Move,550,16.0
12617,Super built-up  Area,Ready To Move,1340,53.6
12618,Super built-up  Area,Ready To Move,2409,395.0
12619,Super built-up  Area,Ready To Move,1194,46.0
12620,Super built-up  Area,Ready To Move,1246,65.0
12621,Built-up  Area,Ready To Move,1055,75.0
12622,Super built-up  Area,18-Dec,1541,69.61
12623,Built-up  Area,Ready To Move,1370,88.0
12624,Super built-up  Area,Ready To Move,1224,75.0
12625,Plot  Area,Ready To Move,650,58.0
12626,Built-up  Area,Ready To Move,883,39.0
12627,Super built-up  Area,Ready To Move,1676,92.13
12628,Built-up  Area,Ready To Move,1154,57.0
12629,Super built-up  Area,Ready To Move,1610,78.5
12630,Super built-up  Area,Ready To Move,1057,42.0
12631,Super built-up  Area,18-Jul,1157,65.0
12632,Plot  Area,18-May,1200,85.0
12633,Plot  Area,Ready To Move,1500,130.0
12634,Super built-up  Area,Ready To Move,980,35.0
12635,Super built-up  Area,Ready To Move,1140,40.0
12636,Super built-up  Area,Ready To Move,1206,40.7
12637,Built-up  Area,Ready To Move,575,16.75
12638,Super built-up  Area,Ready To Move,1600,170.0
12639,Plot  Area,Ready To Move,2400,500.0
12640,Super built-up  Area,Ready To Move,1300,52.0
12641,Super built-up  Area,18-Dec,1270,35.56
12642,Super built-up  Area,18-Apr,1128,63.5
12643,Super built-up  Area,Ready To Move,640,45.0
12644,Super built-up  Area,Ready To Move,2400,185.0
12645,Plot  Area,Ready To Move,1200,66.0
12646,Super built-up  Area,Ready To Move,1090,38.15
12647,Super built-up  Area,Ready To Move,589,29.0
12648,Super built-up  Area,18-Apr,1125,28.13
12649,Super built-up  Area,Ready To Move,1140,50.66
12650,Plot  Area,Ready To Move,3150,500.0
12651,Super built-up  Area,Ready To Move,1315,74.0
12652,Plot  Area,Ready To Move,300Sq. Yards,150.0
12653,Super built-up  Area,Ready To Move,1435,115.0
12654,Super built-up  Area,Ready To Move,1092,44.0
12655,Super built-up  Area,18-May,1314,80.0
12656,Super built-up  Area,Ready To Move,1260,100.0
12657,Plot  Area,Ready To Move,1875,192.0
12658,Super built-up  Area,Ready To Move,1080,49.0
12659,Built-up  Area,Ready To Move,4000,160.0
12660,Super built-up  Area,18-Feb,1082,45.0
12661,Super built-up  Area,Ready To Move,1150,65.0
12662,Super built-up  Area,18-Dec,1052,34.72
12663,Super built-up  Area,Ready To Move,1045,45.0
12664,Built-up  Area,Ready To Move,1442,80.0
12665,Super built-up  Area,Ready To Move,1500,75.0
12666,Super built-up  Area,Ready To Move,497,20.0
12667,Super built-up  Area,Ready To Move,1255,53.57
12668,Super built-up  Area,22-Jan,1432,79.0
12669,Built-up  Area,Ready To Move,2100,150.0
12670,Built-up  Area,Ready To Move,1450,80.0
12671,Super built-up  Area,18-May,1346,69.61
12672,Super built-up  Area,Ready To Move,1200,29.0
12673,Super built-up  Area,Ready To Move,925,49.82
12674,Super built-up  Area,Ready To Move,1160,49.0
12675,Super built-up  Area,18-Apr,1768,81.31
12676,Super built-up  Area,Ready To Move,1094,54.0
12677,Super built-up  Area,Ready To Move,1500,90.0
12678,Built-up  Area,Ready To Move,1745,130.0
12679,Built-up  Area,Ready To Move,2875,85.0
12680,Super built-up  Area,Ready To Move,3500,425.0
12681,Super built-up  Area,Ready To Move,1550,50.0
12682,Super built-up  Area,Ready To Move,2340,160.0
12683,Super built-up  Area,19-Mar,1655,113.0
12684,Super built-up  Area,19-Jan,2024,103.0
12685,Built-up  Area,Ready To Move,3100,425.0
12686,Super built-up  Area,Ready To Move,1575,100.0
12687,Super built-up  Area,18-Dec,1920,130.0
12688,Built-up  Area,Ready To Move,6200,744.0
12689,Super built-up  Area,Ready To Move,1082,55.0
12690,Super built-up  Area,Ready To Move,1265,55.0
12691,Super built-up  Area,Ready To Move,1100,45.0
12692,Plot  Area,Ready To Move,1160,65.0
12693,Super built-up  Area,Ready To Move,1246,67.4
12694,Super built-up  Area,19-Mar,615,43.08
12695,Super built-up  Area,Ready To Move,1128,60.0
12696,Super built-up  Area,Ready To Move,1260,55.0
12697,Super built-up  Area,Ready To Move,1830,89.89
12698,Super built-up  Area,Ready To Move,1525,68.0
12699,Super built-up  Area,18-Jan,602,30.0
12700,Built-up  Area,Ready To Move,3000,400.0
12701,Super built-up  Area,Ready To Move,1835,89.0
12702,Built-up  Area,Ready To Move,1250,62.6
12703,Plot  Area,Ready To Move,1200,110.0
12704,Super built-up  Area,Ready To Move,1855,96.0
12705,Super built-up  Area,Ready To Move,1450,60.91
12706,Super built-up  Area,Ready To Move,2089,148.0
12707,Super built-up  Area,Ready To Move,1464,56.0
12708,Plot  Area,Ready To Move,4800,200.0
12709,Built-up  Area,Ready To Move,1200,44.73
12710,Super built-up  Area,Ready To Move,1095,45.0
12711,Plot  Area,Ready To Move,2900,297.0
12712,Super built-up  Area,Ready To Move,2500,345.0
12713,Built-up  Area,Ready To Move,1170,80.0
12714,Super built-up  Area,Ready To Move,1280,88.0
12715,Super built-up  Area,18-Jul,1224,105.0
12716,Built-up  Area,Ready To Move,1694,125.0
12717,Super built-up  Area,Ready To Move,825,30.0
12718,Super built-up  Area,Ready To Move,1612,98.38
12719,Super built-up  Area,18-Aug,985,25.12
12720,Super built-up  Area,Ready To Move,1175,75.0
12721,Plot  Area,Ready To Move,600,24.0
12722,Built-up  Area,Ready To Move,1740,85.0
12723,Super built-up  Area,Ready To Move,1770,99.0
12724,Plot  Area,Ready To Move,1000,260.0
12725,Super built-up  Area,18-Aug,1090,46.0
12726,Plot  Area,Ready To Move,2295,650.0
12727,Built-up  Area,Ready To Move,4144,331.0
12728,Super built-up  Area,Ready To Move,1800,130.0
12729,Super built-up  Area,Ready To Move,1221,65.0
12730,Super built-up  Area,18-Jun,1046,48.0
12731,Super built-up  Area,Ready To Move,1290,56.12
12732,Built-up  Area,18-Dec,1065,30.76
12733,Super built-up  Area,Ready To Move,1850,121.0
12734,Super built-up  Area,Ready To Move,1097,49.0
12735,Super built-up  Area,Ready To Move,1200,70.0
12736,Super built-up  Area,Ready To Move,2160,170.0
12737,Super built-up  Area,18-May,1140,52.0
12738,Super built-up  Area,Ready To Move,1297,98.0
12739,Super built-up  Area,Ready To Move,1150,50.0
12740,Super built-up  Area,Ready To Move,1375,45.0
12741,Super built-up  Area,Ready To Move,1245,58.0
12742,Super built-up  Area,18-Mar,4750,948.0
12743,Built-up  Area,Ready To Move,1800,180.0
12744,Super built-up  Area,Ready To Move,1594,140.0
12745,Plot  Area,Ready To Move,1200,66.0
12746,Super built-up  Area,18-Aug,645,16.45
12747,Super built-up  Area,20-Dec,700,36.0
12748,Built-up  Area,Ready To Move,2500,650.0
12749,Built-up  Area,Ready To Move,1000,50.0
12750,Plot  Area,Ready To Move,4000,540.0
12751,Super built-up  Area,Ready To Move,1160,42.0
12752,Plot  Area,Ready To Move,1200,85.0
12753,Plot  Area,Ready To Move,600,140.0
12754,Super built-up  Area,Ready To Move,1570,95.0
12755,Super built-up  Area,Ready To Move,1290,88.0
12756,Super built-up  Area,Ready To Move,1200,44.4
12757,Super built-up  Area,20-Apr,2777.29,649.0
12758,Super built-up  Area,Ready To Move,2250,180.0
12759,Built-up  Area,Ready To Move,1270,172.0
12760,Super built-up  Area,Ready To Move,1145,44.0
12761,Super built-up  Area,Ready To Move,1320,46.0
12762,Built-up  Area,18-Aug,1065,30.75
12763,Built-up  Area,18-Mar,1650,48.0
12764,Super built-up  Area,18-Apr,1371,86.0
12765,Built-up  Area,Ready To Move,2700,150.0
12766,Super built-up  Area,Ready To Move,1575,94.5
12767,Super built-up  Area,18-Jan,1362,66.0
12768,Built-up  Area,18-Mar,3210,353.0
12769,Super built-up  Area,Ready To Move,1255,90.0
12770,Super built-up  Area,Ready To Move,925,35.0
12771,Super built-up  Area,19-Dec,1088,30.46
12772,Super built-up  Area,Ready To Move,1234,80.0
12773,Super built-up  Area,Ready To Move,2140,139.0
12774,Super built-up  Area,Ready To Move,1584,101.0
12775,Super built-up  Area,Ready To Move,1175,50.0
12776,Super built-up  Area,Ready To Move,1555,52.0
12777,Super built-up  Area,18-Jul,645,16.45
12778,Super built-up  Area,Ready To Move,1585,79.0
12779,Super built-up  Area,Ready To Move,1354,71.0
12780,Super built-up  Area,18-Jun,1165,45.0
12781,Built-up  Area,Ready To Move,1200,75.0
12782,Super built-up  Area,Ready To Move,1740,137.0
12783,Plot  Area,Ready To Move,1200,185.0
12784,Super built-up  Area,20-Dec,985,50.17
12785,Plot  Area,18-Nov,1200,36.0
12786,Plot  Area,Ready To Move,600,70.0
12787,Super built-up  Area,Ready To Move,1340,47.0
12788,Super built-up  Area,20-Aug,1583,95.23
12789,Plot  Area,Ready To Move,1200,325.0
12790,Plot  Area,Ready To Move,1200,180.0
12791,Super built-up  Area,22-Dec,1115 - 1130,61.74
12792,Super built-up  Area,17-Dec,1573,100.0
12793,Super built-up  Area,18-Jan,1227,42.88
12794,Super built-up  Area,Ready To Move,1210,60.0
